procedure_code,procedure_description,benefit_group
pcd4297,Scaling and Polishing (OHI and Review),dentistry
diag1779,MRI Toe/Foot,advanced and complex investigations
pcd461,Neurectomy Of Leg Nerve,surgeries
drg2018,GESTID SUSPENSION 200ML,non-chronic medications
drg4988,ZINC OXIDE OINTMENT,non-chronic medications
diag1247,Histone Antibody - [Serum],clinical pathology
pcd4404,UTERINE EXPLORATION  ANEASTHESIA,surgeries
cons060,Respiratory Physician / Pulmonologist Follow Up,consultation specialist
drg2649,PECTOL,surgeries
sur0073,Debridement And Primary Suture Of Wound Without Involvement Of Deeper Tissue (Skin and Subcutaneous Fat Only) - Head and Neck,surgeries
drg3012,TABASIL 250MG TABS X14,chronic medication
diag1426,MMC-Mutation Detection Maternal Myopathy With Cardiomyopathy - [EDTA Blood],clinical pathology
drg1015,Accu check Softclix,medical appliances/consumables
drg2922,Seven Seas Simply Timeless cod liver oil syr x300ml,non-chronic medications
diag032,CT Ankle Joint,advanced and complex investigations
diag329,Uric Acid -  [Serum],clinical pathology
diag774,GENOTYPE SCREENING (HMO),selective health screening
diag1840,Ocular Ultrasound Scan,clinical pathology
drg4387,HUMAN CHORIONIC GONADOTROPHIN HCG 5000IU INJECTION,non-chronic medications
diag1991,XRAY Foot Axial View,x-rays and contrast studies
pcd127,Bilateral Hernia - Femoral Repair,surgeries
drg1483,CELEBREX 200MG per sachet,non-chronic medications
drg2603,ORGANIC HEALTH ZINC 100MG 10X10,non-chronic medications
pcd112,Salivary Gland - Intraoral Removal of Duct Calculus,surgeries
cons079,PAEDIATRIC CARDIOLOGY(1STVISIT),consultation specialist
cons080,PAEDIATRIC CARDIOLOGY(FOLLOWUP),consultation specialist
diag1894,HSG (Procedure) Hysterosalpingogram,infertility treatment-investigations
drg1856,ENCEPHABOL SYRUP 100MLS,chronic medication
drg2017,GESTID SUSPENSION 100ML,non-chronic medications
diag936,BRAF V600 Mutation Detection - [Tissue],clinical pathology
drg2904,SANDOZ CANDESARTAN 8mg x28  Sachet,chronic medication
drg4637,OFLOXACIN AND DEXAMETHASONE EYE DROPS 1 BOTTLE,non-chronic medications
opt35,Dilated Fundoscopy,surgeries
drg2029,GETZOME [omeprazole 40mg],non-chronic medications
pcd594,Tendon Transfer - Hand,surgeries
diag1839,Liver Elastography/Fibroscan,advanced and complex investigations
sur0144,URETHROPLASTY (PAED),surgeries
drg2396,MOKO LIQUID PARAFFIN,non-chronic medications
drg1393,BRONCHOLYTE 4MG SYRUP,non-chronic medications
drg2714,POLYFORT SUSP (B/S) 200ML,non-chronic medications
drg2325,Maxiquine syrup,non-chronic medications
drg2604,ORGANIC HEALTH ZINC 100MG X60,non-chronic medications
drg2827,TUXILD SYR ADULT,non-chronic medications
diag681,Ascitic fluid M/C/S,clinical pathology
med0500,VILDAGLIPTIN 50MG BY 56 (N/ACCESS),chronic medication
pcd354,Descemet's Stripping Endothelial Automated Keratoplasty,surgeries
drg2772,"PURITAN TRIPLE OMEGA 3,6,9 x120",physiotherapy
diag1536,RVVT-Russell Viper Venom Time Lupus screen - [Citrated plasma],clinical pathology
drg5012,Thiopentone inj. 0.5mg,non-chronic medications
drg1386,BROMERGON TABLET 2.5MG,non-chronic medications
drg1928,FEROGLOBIN PLUS 200ML,non-chronic medications
drg4446,IPV INACTIVATED POLIO VACCINE,immunizations
diag100,CT Renal Angiography,advanced and complex investigations
diag215,Blood Sugar (Post Glucose),clinical pathology
diag1775,MRI Thoracic Spine,advanced and complex investigations
drg2326,MAXIQUINE TAB 250MG,non-chronic medications
diag949,CA- 72-4 -  [Serum],cancer care
pcd4032,"Assisted Delivery (Forceps,Vacuum etc): Bundled Price",maternity
drg4256,Diosmin (Pilex) 150mg x20,non-chronic medications
diag732,Mycoplasma culture - [Any Sample],clinical pathology
diag1673,Coomb's test (Indirect) or Indirect antiglobulin test (IAT) -  [Serum],clinical pathology
opt115,Optical Frame and Single Vision lenses,spectacles frames and contact lenses
drg4436,INSULIN SHORT ACTING SOLUBLE,clinical pathology
med0079,CEPODEM TABS 200MG,non-chronic medications
pcd134,Burns Wound Debridement and Dressing,surgeries
drg1616,COMBANTRIN SYRUP PYRANTEL,non-chronic medications
drg2461,NATURE'S FIELD ZINC 100MG * 100,non-chronic medications
drg1372,BONDURETIC (SACHET),chronic medication
drg5016,ARENAX TAB,clinical pathology
drg1106,AMLODIPINE 10MG (OTHER BRANDS),chronic medication
drg2927,SILVERBIRD EUCALYPTUS OIL,non-chronic medications
drg4494,LACTULOSE SOLUTION 40ML,non-chronic medications
bio0006,R.F. COOMBS,clinical pathology
sur0094,Dilatation Of Tracheal Stricture Including Insertion Of Stent,surgeries
drg2510,NIVAQUINE FORTE CAP,non-chronic medications
diag1582,t ( 8;21 ) translocation -  [Na-Heparin Blood],cancer care
drg2304,LUMECARE EYE DROPS 10ML,non-chronic medications
drg2400,Moko mist kaolin,non-chronic medications
pcd185,Myringoplasty - Transcanal,surgeries
pcd193,Transnasal Ethmoidectomy,surgeries
drg4579,MINIPLUS TAB,chronic medication
diag1882,Sonography Salivary Gland,ultrasound
drg1254,AUGMENTIN 1.2 INJ,non-chronic medications
pcd299,Insertion of IUCD,surgeries
drg4155,CERVARIX INJECTION,immunizations
pcd221,"Diverticulum Of Bladder, Excision",surgeries
drg1705,Dextrose water (UNIDEX-5),non-chronic medications
diag576,HBeAg - Hepatits B Envelope Antigen  -  [Serum],standard/donor investigation female
diag691,Body Fluid M/C/S,clinical pathology
diag1416,Metanephrine-total [24 hrs Urine],clinical pathology
med0307,Ceftriaxone and Sulbactam,non-chronic medications
diag1895,Knee XRAY Merchant View LT,x-rays and contrast studies
drg1961,FLUCONAZOLE (OTHER BRANDS) 50MG,non-chronic medications
diag039,CT BRAIN ANGIOGRAPHY,advanced and complex investigations
diag362,Occult blood -  [Urine],clinical pathology
drg1911,FANSIDAR 525MG/AMP,non-chronic medications
diag231,Cholesterol-LDL -  [Serum],clinical pathology
opt87,Hypo Tears Gel,non-chronic medications
pcd592,Tendon Transfer - Palm,surgeries
drg4566,METHYLERGOMETRINE INJE. 0.2MG,non-chronic medications
diag815,Adrenaline (Epinephrine) [24 hrs Urine],clinical pathology
drg4586,MORPHINE 10MG 1 TAB,chronic medication
diag1756,MRI MRCP (magnetic resonance cholangiopancreatography),advanced and complex investigations
diag1332,JAK-2 Mutation (CMPD) V617F - [Blood],clinical pathology
diag1063,Citrate biochemical -[Urine 24H],clinical pathology
pcd803,Exchange blood transfusion - Adults,emergency/critical care
drg1258,AUGMENTIN 475MG/5ML SUSP,non-chronic medications
drg3188,VITAMIN C 100MG,non-chronic medications
drg3190,VITAMIN C 500MG,non-chronic medications
drg1081,AMATEM FORTE soft gel,non-chronic medications
drg2381,MISOPT EYE DROP,non-chronic medications
diag683,Aspirate for M/C/S,clinical pathology
drg2003,GAVISCON Double Action Susupension,non-chronic medications
diag769,Yeast identification -  [NA],non-chronic medications
pcd273,Episiotomy and Repair,maternity
drg2061,Grenin griseofulvin tablet,non-chronic medications
drg1659,CYPRIVIT SYRUP 100ml s/s,non-chronic medications
diag1732,MRI BRAIN  ORBIT,advanced and complex investigations
drg2394,MOKO GLYCERINE MOUTHWASH,non-chronic medications
med0062,TRAMADOL HCL 100MG INJ,chronic medication
med0462,Ciprofloxacin syrup,non-chronic medications
med0574,CO-ENZYME-10,non-chronic medications
drg4500,LEPONEX 100MG,non-chronic medications
dent141,Full Blood Count (Hemogram)/MP,selective health screening
diag260,"HDL Cholesterol , direct -  [Serum]",clinical pathology
drg3172,VISCOF EXPECTORANT 100ML,non-chronic medications
cli0036,Anterior  /- Posterior Colporrhaphy And Amputation Of Cervix Uteri (Including Primary Repair Of Enterocele),surgeries
physio002,Walking stick-quadripod,physiotherapy
med0450,Triprolidine-Pseudoephedrine 2.5/60MG,non-chronic medications
med0192,LARGACTIL  25MG/ML,chronic medication
sur0090,Diagnostic Examination Of The Bladder,surgeries
diag1498,Phosphotidylserine IgG antibody - [Serum],clinical pathology
diag1499,Phosphotidylserine IgM antibody - [Serum],clinical pathology
med0314,Insulin(Lantus)Inj,chronic medication
med0029,COLLAR AND CUFF,physiotherapy
drg3026,T-BET eyedrops (Travoprost and Timolol),chronic medication
photo 001,INFRA RED LIGHT THERAPY,physiotherapy
sur0175,INFRA RED LIGHT THERAPY,physiotherapy
drg2906,Savlon 500ml,non-chronic medications
drg1466,CASODEX 50MG X28 TABS,chronic medication
diag734,Pericardial  Fluid M/C/S,clinical pathology
drg1190,Aristobet N OINTMEMT,non-chronic medications
diag302,Proteins -  [Pleural fluid],cancer care
out0152,PLEURAL FLUID CULTURE,cancer care
pcd603,Replacement - Interphalangeal Joint,surgeries
diag189,"Albumin -  [Urine, 24 hours]",clinical pathology
diag280,"Magnesium -  [Urine, 24 hours]",clinical pathology
diag293,"Potassium -  [Urine, 24 hours]",clinical pathology
diag1931,XRAY Barium Swallow,x-rays and contrast studies
drg4449,ISOFLURANE 250ML LIQ,non-chronic medications
drg2351,MENTHODEX COUGH SYRUP,non-chronic medications
drg3043,TETANUS TOXOID INJ 0.5MG,immunizations
pcd411,Transposition Of Ulnar Nerve,surgeries
diag1691,PTT -Partial Thromboplastin Time -  [citrate  Plasma],clinical pathology
drg1305,BENDROFLUMETHIAZIDE TABX5MG BRISTOL,chronic medication
drg1282,BACLOFEN 10MGX84 TAB,non-chronic medications
drg2886,RYCIN 500mg Erythromycin,non-chronic medications
drg3187,VITAMIN C 1000MG,non-chronic medications
drg4944,VIXA ERYTHROMYCIN 500MG,non-chronic medications
diag1688,Pregnancy test -  [serum],clinical pathology
diag056,CT Elbow Right,advanced and complex investigations
diag081,CT Leg RIGHT,advanced and complex investigations
diag124,CT Wrist RIGHT,advanced and complex investigations
pcd626,Open Embolectomy,surgeries
diag155,HaemoDialysis (negative) subsequent sessions,renal dialysis
drg4274,ENOXAPAPRIN INJ 40MG AMP,non-chronic medications
diag055,CT Elbow Left,advanced and complex investigations
diag080,CT Leg LEFT,advanced and complex investigations
diag123,CT Wrist LEFT,advanced and complex investigations
diag109,CT Scanogram (Both lower limbs),advanced and complex investigations
drg1836,Emzor omega 3 fish oil,non-chronic medications
drg4286,Esomaprazole (Torziam) 40mg 00,non-chronic medications
drg2198,KUNIMED ACTIVATED CHARCOAL,non-chronic medications
diag1897,Knee XRAY Skyline View LT,x-rays and contrast studies
drg2427,MYCOTEN OVULE (PESSARIES) 100MG,non-chronic medications
drg4545,MELOXICAM INJ,non-chronic medications
med0288,IVERMECTIN INJECTION,non-chronic medications
diag1538,"SCA1 Spinocerebellar Ataxia Type 1 , CAG Repeats - [EDTA Blood]",clinical pathology
diag1539,"SCA12 Spinocerebellar Ataxia Type 12 , CAG Repeats - [EDTA Blood]",clinical pathology
diag1540,"SCA2 Spinocerebellar Ataxia Type 2 , CAG Repeats - [EDTA Blood]",clinical pathology
drg1547,CIPROTAB 200MG INJ,non-chronic medications
diag779,Protein Electrophoresis - [Urine 24H],clinical pathology
drg1734,Digoxin Tab 28 tabs 62.5micro grams,chronic medication
drg3087,TREVIAMET 50/1000MG TABS * 35 (satchet),chronic medication
drg4547,Melrosum Syrup 100ml,non-chronic medications
med0259,Digoxin Syrup (Lanoxin),chronic medication
diag1123,Digoxin (Lanoxin) -  [Serum],chronic medication
diag1553,Sickle Cell Anemia Mutation Analysis - [EDTA Blood],clinical pathology
opt 25001,Intra Ocular Pressure Test,ophthalmic care
med0053,AMOXICILLIN 250 CAP GSK,non-chronic medications
diag2066,XRAY PA Jaws,x-rays and contrast studies
pcd226,Transurethral Resection of Prostate (TURP),surgeries
diag2069,XRAY Paranasal Sinuses AP/Waters/LAT,x-rays and contrast studies
drg1850,ENALADEX 10MG TABS X30,chronic medication
drg1731,DIFLUCAN 50MG 150MG,non-chronic medications
pcd514,Peripheral Nerve Block,surgeries
drg4668,PARACETAMOL 150MG SUPPOSITORY,non-chronic medications
diag089,CT MYELOGRAM [CRANIO-CERVICAL],advanced and complex investigations
diag1542,"SCA6 Spinocerebellar Ataxia Type 6 , CAG Repeats - [EDTA Blood",clinical pathology
diag1543,"SCA7 Spinocerebellar Ataxia Type 7 , CAG Repeats - [EDTA Blood]",clinical pathology
pcd530,Closed Reduction Of Fracture Of Small Bone With External Fixator,surgeries
drg1555,CLARION ViBOOST VIT E,non-chronic medications
diag1730,MRI Brain and Venogram,advanced and complex investigations
diag1731,MRI BRAIN  IAM  IAC,advanced and complex investigations
drg2549,NYSTATIN ORAL DROPS 30MLS,non-chronic medications
diag2122,XRAY Sacroiliac Joint Lt Oblique,x-rays and contrast studies
diag2124,XRAY Sacroiliac Joint Rt Oblique,x-rays and contrast studies
drg1560,CLARITYN (1 A DAY) 10MG (30 TABLETS),non-chronic medications
diag639,PH (urine 24hrs),clinical pathology
diag120,CT Upper Abdomen,advanced and complex investigations
diag1736,MRI Cervical Spine,advanced and complex investigations
diag1754,MRI Lumbar Spine,advanced and complex investigations
dent90,Mouth Guard / Night Guard,dentistry
drg4549,MENCEVAX ACWY VACCINE,immunizations
diag1009,CD34 (Precursor marker) -  [EDTA-Blood],cancer care
drg3035,TENOFOVIR/EMTRICTABINE MYLAN,chronic medication
drg4043,AMANTADINE HCL 100MG,non-chronic medications
diag1412,Mercury ICPMS - [Urine],clinical pathology
drg2683,PIDOGREL TABS  PER SATCHET,chronic medication
drg3292,ZIDOVUDINE SYRUP 50MG/5MLS,chronic medication
drg4647,OPV IMMUNIZATION,immunizations
drg2519,NORGESIC TABS X20,non-chronic medications
med0237,MethylDopa (Aldocure) 250mg,chronic medication
med0371,METHYLDOPA 250MG GENERIC,chronic medication
drg1320,BENYLIN WET COUGH FOR CHILDREN,non-chronic medications
pcd562,"Anterior Lumbar Interbody Fusion (including Discectomy), 1 Level",surgeries
pcd122,Unilateral Hernia - Femoral Repair,surgeries
dent111,Repair of removable orthodontic appliance,medical appliances/consumables
cons089,FAMILY MEDICINE PHYSICIAN REVIEW,consultation specialist
drg1698,DETRUSITOL 2MG TAB,non-chronic medications
drg4215,CYPROHEPTADINE HCL 2MG 5ML,non-chronic medications
drg1153,AMPICLOX SUSPENSION (OTHER BRANDS),non-chronic medications
pcd563,"Anterior Lumbar Interbody Fusion (including Discectomy), 2 Levels",surgeries
diag1793,Potassium Chloride Injection (per Ampule),non-chronic medications
drg1855,Encephabol (pyritinol HCL) per sach,chronic medication
drg2360,METAPRIM CAP 20MG,non-chronic medications
med0251,ADVANT CANDERSARTAN 32MG,chronic medication
drg4868,TRESIBA FLEXTOUCH INSULIN,chronic medication
diag304,Proteins -  [Synovial Fluid],clinical pathology
diag1774,MRI Temporal Bone,advanced and complex investigations
diag1452,Nor-Adrenaline (Nor-epinephrine) - [Urine 24H],non-chronic medications
diag775,HAEMOGLOBIN GENOTYPE QUANTIFICATION [ HPLC ],clinical pathology
opt169,OPTHALMOLOGIST FOLLOW UP/ REVIEW,consultation specialist
diag248,G6PD -Quantitative -  [Blood],clinical pathology
diag1541,"SCA3 (MJD) Spinocerebellar Ataxia Type 3 , CAG Repeats - [EDTA Blood]",clinical pathology
med0420,Pulmicort Nebule 0.25Mg,chronic medication
out0091,FULL ARM WAXING,surgeries
drg4288,Essentiale Forte 300mg x50,non-chronic medications
diag786,3-Methyl Histidine Quantitative [Serum],clinical pathology
drg1921,FELXICAM 20MG CAPS X10,non-chronic medications
drg2219,Laxat eye drop 2.5ml,chronic medication
diag758,Synovial Fluid for M/C/S,clinical pathology
med0231,Zovirax (Acyclovir) CREAM and Application,non-chronic medications
diag273,LDL Cholesterol -Direct -  [Manual],clinical pathology
diag074,CT Joints (Single joints),advanced and complex investigations
diag154,HaemoDialysis (negative) 1st session,renal dialysis
cons030,Maxilloficial Surgeon Consultation,consultation specialist
drg1110,AMLODIPINE 5MG (OTHER BRANDS),chronic medication
drg1147,AMPICILLIN 250MG CAPSULES,non-chronic medications
drg1488,CENOX 500MG x14,chronic medication
pcd386,Neurectomy Of Leg / Foot Not Elsewhere Classified,surgeries
diag1898,Knee XRAY Skyline View RT,x-rays and contrast studies
physio755,Cervical Collar Philadephia,physiotherapy
pcd113,Sentinel Node Biopsy,surgeries
pcd794,Ear Syringing -bilateral,audiology
diag2171,XRAY RCUG,x-rays and contrast studies
drg1703,Dextrose saline (UNIDEXAL,non-chronic medications
drg4748,Rabies Vaccine (Verorab) 25IU,emergency/critical care
diag1745,MRI Inner Ear,advanced and complex investigations
diag1860,Sono KUB and Prostate,ultrasound
drg1719,Diclofenac eye drops (DFG),non-chronic medications
drg4281,ERGOMETRINE INJECTION,non-chronic medications
diag227,Cholesterol (Total) -  [Body Fluid],clinical pathology
diag332,Uric acid (Body Fluid),clinical pathology
diag1729,MRI Brain and Angiography,advanced and complex investigations
diag1733,MRI Brain With Pituitary,advanced and complex investigations
med0310,Trimetazidine Dihydrochloride 35Mr,non-chronic medications
opt170,OPTOMETRIST FOLLOW UP/ REVIEW,consultation specialist
cli0138,Exscision of skin lesions,surgeries
diag1999,XRAY Hip Lateral,x-rays and contrast studies
diag533,Anti HBeAg -Antibodies to Hepatitis B envelope Antigen -  [Serum],standard/donor investigation female
drg4125,Broncholyte 40mg/5ml,non-chronic medications
diag1333,JAK-2 Mutation (CMPD) V617F - [Bone Marrow],clinical pathology
drg2467,NCP LIQUID 200ML,non-chronic medications
diag1927,XRAY Barium Enema,x-rays and contrast studies
drg4088,ANTAZOLINE TETRAHYDROZINE EYE DROP,non-chronic medications
dent70,Dental Zinc Oxide Eugenol Dressing,non-chronic medications
drg2229,LEVOTHYROXINE 100MCG X28,non-chronic medications
diag843,Alpha Galactosidase Fabry [Heparin Blood],clinical pathology
